data_status,response_id,version,position,scenario,scenario_sector,data_signal,accountability,choice_key,over_reliance,accuracy,confidence,perceived_stakes,verification_intent,options_asked,options_generated,seconds_on_page,attn_shown,attn_correct,use_frequency,role,sector,experience,seniority,org_size,analytics_familiarity,dissent_route,follow_up,attn_pass,attn_total,mc_immediate_correct,mc_count_response,mc_count_correct,suspicion_pattern,suspicion_text,started,submitted,total_seconds,interview_mode,submitted_at,consent_quotes,consent_storage,consent_confidential,consent_date,country,iv_sector,job_title,level,years_experience,dashboard_frequency,people_responsible,stale_warning_shown,bi_training,age_band,qualification,Q1_text,Q2_text,Q3_text,Q4_text,Q5_text,Q6_text,Q7_text,Q8_text,Q9_text,Q10_prompt,Q10_text,Q11_text,Q12_text,R1,R2,R3,R4,R5,R6,R7,R8,blame_asymmetry_R5_minus_R4,behavioural_profile,fault_detected,objection_raised,objection_recorded,objection_answered,outcome,codes,iv_total_seconds
COLLECTED,S002,2,5,pricing,Consumer goods,visible,own,other,0,0,4,6,1,0,,84,0,,Several times a week,Analyst or specialist supporting decisions,Consulting and professional services,2 to 4 years,Team lead or assistant manager,"1,000 to 4,999",2,2,1,2,2,1,3,0,1,Cannot say.,2026-07-27T09:26:30.000Z,2026-07-27T09:57:05.000Z,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S002,2,6,ward,Healthcare,visible,auditable,correct,0,1,6,6,1,1,1,98,1,1,Several times a week,Analyst or specialist supporting decisions,Consulting and professional services,2 to 4 years,Team lead or assistant manager,"1,000 to 4,999",2,2,1,2,2,1,3,0,1,Cannot say.,2026-07-27T09:26:30.000Z,2026-07-27T09:57:05.000Z,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S002,2,7,freight,Logistics,visible,own,dashboard,1,0,7,5,1,0,,62,0,,Several times a week,Analyst or specialist supporting decisions,Consulting and professional services,2 to 4 years,Team lead or assistant manager,"1,000 to 4,999",2,2,1,2,2,1,3,0,1,Cannot say.,2026-07-27T09:26:30.000Z,2026-07-27T09:57:05.000Z,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S002,2,8,kiln,Industrial,hidden,own,correct,0,1,7,5,0,0,,85,0,,Several times a week,Analyst or specialist supporting decisions,Consulting and professional services,2 to 4 years,Team lead or assistant manager,"1,000 to 4,999",2,2,1,2,2,1,3,0,1,Cannot say.,2026-07-27T09:26:30.000Z,2026-07-27T09:57:05.000Z,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S003,2,1,fraud,Financial services,hidden,auditable,partial,0,0,6,6,1,1,3,158,0,,Several times a week,Manager with budget or people responsibility,"Logistics, transport and supply chain",5 to 9 years,Manager,"5,000 or more",2,3,0,2,2,1,do not know,0,1,,2026-07-27T18:37:12.000Z,2026-07-27T18:56:40.000Z,1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S003,2,2,kiln,Industrial,hidden,own,partial,0,0,4,6,1,0,,105,0,,Several times a week,Manager with budget or people responsibility,"Logistics, transport and supply chain",5 to 9 years,Manager,"5,000 or more",2,3,0,2,2,1,do not know,0,1,,2026-07-27T18:37:12.000Z,2026-07-27T18:56:40.000Z,1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S003,2,3,retention,Technology,hidden,auditable,partial,0,0,5,6,1,1,1,117,1,1,Several times a week,Manager with budget or people responsibility,"Logistics, transport and supply chain",5 to 9 years,Manager,"5,000 or more",2,3,0,2,2,1,do not know,0,1,,2026-07-27T18:37:12.000Z,2026-07-27T18:56:40.000Z,1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S003,2,4,pricing,Consumer goods,visible,own,partial,0,0,4,6,0,1,1,71,0,,Several times a week,Manager with budget or people responsibility,"Logistics, transport and supply chain",5 to 9 years,Manager,"5,000 or more",2,3,0,2,2,1,do not know,0,1,,2026-07-27T18:37:12.000Z,2026-07-27T18:56:40.000Z,1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S003,2,5,ward,Healthcare,visible,auditable,correct,0,1,6,7,1,0,,40,0,,Several times a week,Manager with budget or people responsibility,"Logistics, transport and supply chain",5 to 9 years,Manager,"5,000 or more",2,3,0,2,2,1,do not know,0,1,,2026-07-27T18:37:12.000Z,2026-07-27T18:56:40.000Z,1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S003,2,6,freight,Logistics,visible,own,partial,0,0,5,6,1,0,,75,1,1,Several times a week,Manager with budget or people responsibility,"Logistics, transport and supply chain",5 to 9 years,Manager,"5,000 or more",2,3,0,2,2,1,do not know,0,1,,2026-07-27T18:37:12.000Z,2026-07-27T18:56:40.000Z,1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S003,2,7,kovai,Retail,visible,auditable,partial,0,0,4,6,1,0,,63,0,,Several times a week,Manager with budget or people responsibility,"Logistics, transport and supply chain",5 to 9 years,Manager,"5,000 or more",2,3,0,2,2,1,do not know,0,1,,2026-07-27T18:37:12.000Z,2026-07-27T18:56:40.000Z,1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S003,2,8,supplier,Manufacturing,hidden,own,correct,0,1,6,5,1,0,,53,0,,Several times a week,Manager with budget or people responsibility,"Logistics, transport and supply chain",5 to 9 years,Manager,"5,000 or more",2,3,0,2,2,1,do not know,0,1,,2026-07-27T18:37:12.000Z,2026-07-27T18:56:40.000Z,1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S004,2,1,supplier,Manufacturing,hidden,own,dashboard,1,0,7,7,0,0,,84,0,,Daily,Senior leader or director,Retail and consumer goods,15 years or more,Senior manager or head of function,250 to 999,4,3,0,2,2,1,6,0,0,It is studying decision making under time pressure with limited information.,2026-07-28T04:34:43.000Z,2026-07-28T04:51:52.000Z,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S004,2,2,retention,Technology,hidden,auditable,dashboard,1,0,6,7,0,1,0,123,0,,Daily,Senior leader or director,Retail and consumer goods,15 years or more,Senior manager or head of function,250 to 999,4,3,0,2,2,1,6,0,0,It is studying decision making under time pressure with limited information.,2026-07-28T04:34:43.000Z,2026-07-28T04:51:52.000Z,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S004,2,3,pricing,Consumer goods,visible,own,dashboard,1,0,6,5,0,0,,93,1,1,Daily,Senior leader or director,Retail and consumer goods,15 years or more,Senior manager or head of function,250 to 999,4,3,0,2,2,1,6,0,0,It is studying decision making under time pressure with limited information.,2026-07-28T04:34:43.000Z,2026-07-28T04:51:52.000Z,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S004,2,4,kiln,Industrial,hidden,own,partial,0,0,4,6,0,0,,60,0,,Daily,Senior leader or director,Retail and consumer goods,15 years or more,Senior manager or head of function,250 to 999,4,3,0,2,2,1,6,0,0,It is studying decision making under time pressure with limited information.,2026-07-28T04:34:43.000Z,2026-07-28T04:51:52.000Z,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S004,2,5,freight,Logistics,visible,own,partial,0,0,5,6,0,1,1,98,0,,Daily,Senior leader or director,Retail and consumer goods,15 years or more,Senior manager or head of function,250 to 999,4,3,0,2,2,1,6,0,0,It is studying decision making under time pressure with limited information.,2026-07-28T04:34:43.000Z,2026-07-28T04:51:52.000Z,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S004,2,6,fraud,Financial services,hidden,auditable,dashboard,1,0,7,7,0,0,,85,1,1,Daily,Senior leader or director,Retail and consumer goods,15 years or more,Senior manager or head of function,250 to 999,4,3,0,2,2,1,6,0,0,It is studying decision making under time pressure with limited information.,2026-07-28T04:34:43.000Z,2026-07-28T04:51:52.000Z,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S004,2,7,ward,Healthcare,visible,auditable,dashboard,1,0,5,7,0,1,3,115,0,,Daily,Senior leader or director,Retail and consumer goods,15 years or more,Senior manager or head of function,250 to 999,4,3,0,2,2,1,6,0,0,It is studying decision making under time pressure with limited information.,2026-07-28T04:34:43.000Z,2026-07-28T04:51:52.000Z,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S004,2,8,kovai,Retail,visible,auditable,dashboard,1,0,6,7,1,0,,45,0,,Daily,Senior leader or director,Retail and consumer goods,15 years or more,Senior manager or head of function,250 to 999,4,3,0,2,2,1,6,0,0,It is studying decision making under time pressure with limited information.,2026-07-28T04:34:43.000Z,2026-07-28T04:51:52.000Z,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLECTED,S005,1,1,fraud,Financial services,visible,own,correct,0,1,7,6,1,0,,81,0,,Daily,Analyst or specialist supporting decisions,Technology and software,5 to 9 years,Manager,250 to 999,5,1,1,2,2,1,do not know,0,0,Something about ethics in business maybe.,2026-07-28T16:43:26.000Z,2026-07-28T17:00:38.000Z,1032,now,2026-07-28T17:26:43.000Z,Yes,Yes,Yes,7/28/2026,Singapore,Technology and software,Engineering Manager - Data Platform,Manager,5 to 9 years,Several times a day,5 to 9,"Yes, always","Yes, a formal qualification",35 to 44,Postgraduate degree,"Three or four. A pipeline health board in Grafana, the freshness dashboard from our dbt runs, an incident board, and then the product usage dashboard which the PM team also uses. On the freshness one the first thing I look at is the list of models that have breached their SLA overnight. On the product one I look at the event volume by platform before I look at any metric, because a metric built on half the events is worse than no metric.","A few weeks ago we had to decide whether to roll back a release because activation rate looked like it had dropped about 9 per cent. The dashboard was clear, there was a step change on the release date. What I noticed first was that the drop was only on iOS and only for new installs. Before deciding I checked the raw event counts and the app version distribution, and it turned out the SDK on the new build was batching events differently so a chunk of them were arriving after our daily cut off. The activation was fine, the counting was late. We did not roll back, we changed the cut off. It took about three hours to establish that, and in those three hours there was quite a lot of pressure to just roll back.","In our own stack, yes, quite well, because we set it up deliberately. Every table has a freshness test and the dashboard shows a stale badge if the last successful run is outside the window. Downstream tiles grey out. That said, I want to be careful here, because the badge only covers the failures we anticipated. A pipeline that runs successfully with a partial payload from an upstream API is still green, and we have been caught by exactly that. So the warning tells me when the plumbing broke, not when the data is wrong. Those are different problems and only one of them is solved.","Yes. Our churn model dashboard once showed a very healthy retention curve for a cohort that I knew, from talking to two customer success people, was in a bad state. Two of those accounts had already told their CSM they were evaluating alternatives. The dashboard did not know anything about that because it only sees product events, and both of those customers had actually increased usage while running an evaluation of the competitor. So the signal was real, the interpretation was completely wrong. Usage went up because they were doing a migration assessment.","I raised it in our weekly business review and wrote it up in the analytics channel with the specific account IDs. It was received well and we added a manual override field so CSMs can flag an account regardless of what the model says. So in this case it did go somewhere, and it is recorded in the sense that there is a Slack thread and a Linear ticket. But I would not call that a record in the way you mean. In six months nobody will find that thread. There is no register of times the model was wrong, which is a bit ironic for a data team.","Here it is a mixed picture and I think we are better than most. In postmortems we genuinely operate blameless and a well argued judgement call is accepted if you wrote down your reasoning at the time. The written reasoning is the key. If you decided something in your head and it went wrong, that is hard to defend. If there is a doc with your reasoning dated before the outcome, you are fine even if you were wrong. So it is not report versus judgement exactly, it is documented versus undocumented.","For me personally the two are fairly similar, and I know that is not the common answer. Our engineering culture treats an outage the same way whether the dashboard was followed or not, the question is what did the decision maker know at the time. Having said that, I have worked in two other companies where it was not like this at all, and there overruling was career limiting. So I would say my answer is about my current employer and not about the industry.","Frequently. Our support engineers see the same three complaints in tickets long before it shows up in any metric. There is a channel where they post it. Whether it is recorded depends entirely on whether someone converts it to a ticket, and that in turn depends on how busy that week is. I would guess more than half of it evaporates. We tried tagging tickets by theme but the tagging is done by the person closing the ticket, who wants to close the ticket.","It narrows things but in a specific way. The dashboard makes incremental options very easy to discuss, because you can see the metric moving. Anything structural is hard to discuss because there is no tile for it. For example, deprecating a feature that a small number of large accounts use is almost never proposed, because the dashboard shows usage but not the strategic cost of keeping it. So we end up optimising the things that are measured and quietly not deciding the things that are not.","In the study you have just completed, in the scenario about renewing a supplier at increased volume the dashboard indicated that the supplier scored 98.6 per cent and should be renewed at higher volume, while what you knew locally was that the inspector had been passing batches by eye because the test rig was out of calibration. You chose: Renew at the current volume rather than increasing it.Looking back, what would drive your choice if this were a real decision at your work?","I picked the middle option there, renew at the current volume, and that is very typical of me. Reading it back, I think the middle option is a way of not making the decision. It looks prudent but it leaves the underlying question, is the measurement trustworthy, completely unanswered, and you carry that unanswered question forward at a lower volume. What would drive me in a real situation is whether the measurement failure is recoverable quickly. If recalibrating the rig takes two days, hold, obviously. If it takes six weeks, then the middle option is genuinely reasonable and you manage the risk with incoming inspection. I did not think about that at the time. I think I chose the middle option because it felt safe rather than because I had a view.","Show the provenance of the number where the number is, and make it socially normal to ask. In my team we have a running joke that the first question in any review is what is the denominator, and because it is a joke it is safe to ask. That is more useful than any tooling we have built. If you want people to push back you have to make the pushback low cost and slightly boring, not brave.","Nothing further, other than to say the scenarios were well constructed. The one about the vibration sensor reading the same value every time was a nice touch, that is a real failure mode and it is very hard to see on a chart.",3,5,5,4,4,4,3,5,0,,,,,,,,1547
COLLECTED,S005,1,2,freight,Logistics,visible,auditable,partial,0,0,6,6,1,0,,59,0,,Daily,Analyst or specialist supporting decisions,Technology and software,5 to 9 years,Manager,250 to 999,5,1,1,2,2,1,do not know,0,0,Something about ethics in business maybe.,2026-07-28T16:43:26.000Z,2026-07-28T17:00:38.000Z,1032,now,2026-07-28T17:26:43.000Z,Yes,Yes,Yes,7/28/2026,Singapore,Technology and software,Engineering Manager - Data Platform,Manager,5 to 9 years,Several times a day,5 to 9,"Yes, always","Yes, a formal qualification",35 to 44,Postgraduate degree,"Three or four. A pipeline health board in Grafana, the freshness dashboard from our dbt runs, an incident board, and then the product usage dashboard which the PM team also uses. On the freshness one the first thing I look at is the list of models that have breached their SLA overnight. On the product one I look at the event volume by platform before I look at any metric, because a metric built on half the events is worse than no metric.","A few weeks ago we had to decide whether to roll back a release because activation rate looked like it had dropped about 9 per cent. The dashboard was clear, there was a step change on the release date. What I noticed first was that the drop was only on iOS and only for new installs. Before deciding I checked the raw event counts and the app version distribution, and it turned out the SDK on the new build was batching events differently so a chunk of them were arriving after our daily cut off. The activation was fine, the counting was late. We did not roll back, we changed the cut off. It took about three hours to establish that, and in those three hours there was quite a lot of pressure to just roll back.","In our own stack, yes, quite well, because we set it up deliberately. Every table has a freshness test and the dashboard shows a stale badge if the last successful run is outside the window. Downstream tiles grey out. That said, I want to be careful here, because the badge only covers the failures we anticipated. A pipeline that runs successfully with a partial payload from an upstream API is still green, and we have been caught by exactly that. So the warning tells me when the plumbing broke, not when the data is wrong. Those are different problems and only one of them is solved.","Yes. Our churn model dashboard once showed a very healthy retention curve for a cohort that I knew, from talking to two customer success people, was in a bad state. Two of those accounts had already told their CSM they were evaluating alternatives. The dashboard did not know anything about that because it only sees product events, and both of those customers had actually increased usage while running an evaluation of the competitor. So the signal was real, the interpretation was completely wrong. Usage went up because they were doing a migration assessment.","I raised it in our weekly business review and wrote it up in the analytics channel with the specific account IDs. It was received well and we added a manual override field so CSMs can flag an account regardless of what the model says. So in this case it did go somewhere, and it is recorded in the sense that there is a Slack thread and a Linear ticket. But I would not call that a record in the way you mean. In six months nobody will find that thread. There is no register of times the model was wrong, which is a bit ironic for a data team.","Here it is a mixed picture and I think we are better than most. In postmortems we genuinely operate blameless and a well argued judgement call is accepted if you wrote down your reasoning at the time. The written reasoning is the key. If you decided something in your head and it went wrong, that is hard to defend. If there is a doc with your reasoning dated before the outcome, you are fine even if you were wrong. So it is not report versus judgement exactly, it is documented versus undocumented.","For me personally the two are fairly similar, and I know that is not the common answer. Our engineering culture treats an outage the same way whether the dashboard was followed or not, the question is what did the decision maker know at the time. Having said that, I have worked in two other companies where it was not like this at all, and there overruling was career limiting. So I would say my answer is about my current employer and not about the industry.","Frequently. Our support engineers see the same three complaints in tickets long before it shows up in any metric. There is a channel where they post it. Whether it is recorded depends entirely on whether someone converts it to a ticket, and that in turn depends on how busy that week is. I would guess more than half of it evaporates. We tried tagging tickets by theme but the tagging is done by the person closing the ticket, who wants to close the ticket.","It narrows things but in a specific way. The dashboard makes incremental options very easy to discuss, because you can see the metric moving. Anything structural is hard to discuss because there is no tile for it. For example, deprecating a feature that a small number of large accounts use is almost never proposed, because the dashboard shows usage but not the strategic cost of keeping it. So we end up optimising the things that are measured and quietly not deciding the things that are not.","In the study you have just completed, in the scenario about renewing a supplier at increased volume the dashboard indicated that the supplier scored 98.6 per cent and should be renewed at higher volume, while what you knew locally was that the inspector had been passing batches by eye because the test rig was out of calibration. You chose: Renew at the current volume rather than increasing it.Looking back, what would drive your choice if this were a real decision at your work?","I picked the middle option there, renew at the current volume, and that is very typical of me. Reading it back, I think the middle option is a way of not making the decision. It looks prudent but it leaves the underlying question, is the measurement trustworthy, completely unanswered, and you carry that unanswered question forward at a lower volume. What would drive me in a real situation is whether the measurement failure is recoverable quickly. If recalibrating the rig takes two days, hold, obviously. If it takes six weeks, then the middle option is genuinely reasonable and you manage the risk with incoming inspection. I did not think about that at the time. I think I chose the middle option because it felt safe rather than because I had a view.","Show the provenance of the number where the number is, and make it socially normal to ask. In my team we have a running joke that the first question in any review is what is the denominator, and because it is a joke it is safe to ask. That is more useful than any tooling we have built. If you want people to push back you have to make the pushback low cost and slightly boring, not brave.","Nothing further, other than to say the scenarios were well constructed. The one about the vibration sensor reading the same value every time was a nice touch, that is a real failure mode and it is very hard to see on a chart.",3,5,5,4,4,4,3,5,0,,,,,,,,1547
